Брал взамен Philips 732, после него аппарат впечатляет. Европеец 2 ГБ Большой, мощный, хороший звук, как в динамиках, так и в наушниках (наушники сх-400 shenhaiser). Батарейки честно хватает на 3-4 дня - много звонков, немного музыки, интернет 3g и wi-fi. Камера огорчила, синит, мылит, но я ей не почти пользуюсь. Плохая связь. С обновлениями прошивок становится незначительно, но получше. За эти деньги нормальный аппарат.;1
"Телефоном очень доволен. До этого было всего и по многу, так получается, что у меня есть возможность пользоваться разными смартами.
Был выбор купить LG G3 или OnePlusOne, но в силу своих причин выбрал MEIZU. 
У MEIZU есть своя харизма и яркий дизайн, Вау эффект от того, что берешь его в руку.
До этого были все смарты этой китайской компании, но МХ4 - это квинтэссенция всех наработок и мировых трендов.
Я бы порекомендовал его людям, в основном мужчинам, которые хотят утонченный и красивый телефон, со своей оболочкой, музыкальной составляющей и по демократичной цене.";3
Работала идеально в течении года. Сгорела при отключении света в квартире - нельзя сказать, что причина именно в плохой сборке или некачственных компонентах - скорее всего, виной этому блок питания. Теперь блоки от 4 к. рублей не кажутся мне плохим вложением денег=));1
"Много придираюсь, а так телефон просто класс, берите, не пожалеете
И да, в телефоне ЕСТЬ всё, то что надо!!!";3
"Чайник, к сожалению, разочаровал. Покупала его по рекламе, как самый тихий и ещё клюнула на дизайн. Хотя перед покупкой читала отзывы и видела, что люди писали, что ""он ревёт как самолет"", и есть проблемы с крышкой, но это меня не остановило, и будучи оптимисткой, решила поверить положительным отзывам по данному прибору, как оказалось, зря! Он, конечно, функции свои выполняет и по поддержанию температуры, и по нагреву в разных режимах, и ни разу не сломался за длительный срок работы, в этом, надо отдать ему должное. Все предыдущие чайники, в основном это были Tefal начинали течь через года полтора эксплуатации. Но вот уровень шума у него абсолютно не соответствует заявляемому, он стоит у нас на кухне, там же периодически смотрим и телевизор, так вот при включённом чайнике, звук в телевизоре приходится делать значительно громче, что бы уловить хоть что-то из интересующей передачи! В общем смотрите сами, может вам с конкретным экземпляром повезёт больше чем мне, но риск того что нет тоже присутствует, и не малый.
Я считаю, что он совершенно не стоит того что бы рисковать ~ 9 000 рублей, опробовала на себе.";3
ни за что бы не советовала данное автокресло, до этого у нас было автокресло инглезина муви, без изофикса и, поверьте, ремнями оно крепилось гораздо надежнее, чем капелла, вобщем из достоинств только приятный на ощупь и это все!;3
"Очень мягкий и отзывчивый. Подвеска отлично глотает как мелкие трещенки на асфальте, так и высокие камни, корни, бордюры. Очень понравилась форма, эргономика и внешний вид как отдельно рамы, так и байка в целом. Остановлюсь на раме: очень крепкая, хорошо сварена. Конструкция очень понравилась запасом хода до 220 мм и дополнительным  узлом в зоне крепления подвеса и перьев, благодаря чему задняя часть не прыгает из стороны в сторону при быстрых прохождениях участков с камнями и корнями, что добавляет устойчивости и комфорта. Вилка не смотря на то, что относительно бюджетная среди двухкоронных собратьев работает очень отлажено, мягко и отзывчиво. Регулятор демпфирования добавляет настройку, необходимую для конкретной трассы, что для меня очень важно. Теперь хотелось бы сказать о некоторых неприятных моментах данного байка. Первое: на данном велосипеде установлены тормозные роторы диаметром в 203 мм. После двух дней катания я заметил, что роторы немного гнутые. Дело обычное, только я не сразу заметил, что когда ротор немного уходит во внешнюю часть велосипеда, он начинает цеплять верхнее перо. Тем самым сделав мне царапину на раме. Хотел бы чтобы покупатели сразу обратили внимание на идеально выравненные роторы. Вторая проблема, довольно широко распространена среди даунхильных байков, а именно успокоитель цепи. В силу большого хода задней части велосипеда, верхняя часть успокоителя, протерла довольно уверенную царапину на раме, что мне очень не понравилось. Я смог вылечить это только при очень тонкой настройке успокоителя. Так же замечу, что на данном байке стоят покрышки Continental Kaiser 26x2.5, это отличные и очень цепкие покрышки как раз для тех мест, где нужно эксплуатировать этот байк. Но они очень мягкие и с широким протектором, что при весе байка сказывается на педалировании и накате. Две вещи, которые мне не понравились в плане ""цена-качество"" это тормозные машинки Code с маленьким уровнем настроек и заднем переключателе Sram X5.";1
отжимал яблоки,очень быстро забивает сетку,после 200 грамм сока,кругом кашица,а носик слива сока просто отстой ,очень часто надо чистить,очень не  продумана технически,не советую брать.;3
Был куплен 31.12.2009 года за 4200 руб, думал за такие деньги и при такой гарантии проблем не будет, посмотрим, что будет после ремонта. В следующий раз переплачивать за имя КОРСАР наверно уже не буду.;1
Телефон для тех кто любит играть в рулетку, может попасться. Авось попадется нормального качества.;3
Данная модель привлекла тем,что это мониторники, но достаточно небольшие.Выглядят вполне прилично.Таких сейчас очень мало.Хотел купить какие-нибудь AKG  K430-450 но 99% отзывов о них говорят о том,что ввиду кривой конструкции у оных быстро рвутся провода,так что даже не думайте берите эти,поскольку других достойных аналогов за такую цену нет!;3
вцелом. доволен. Я перешил ОС, поставил cyanogenmod. Этим устранил два недостатка: быстроватую разрядку (теперь всего 2% за день без использования берёт), задевание сенсорных кнопок (я их отключил, теперь они на экране появляются когда по краю проведешь). Еще поставил GMD Gesture Control - теперь вообще без кнопок можно обойтись, всё жестами делать (как на iPad);1
"пользуюсь данной моделью более полугода. Это наша первая хлебопечка, много читал отзывов и решил, что для начала куплю что-ниб. по разумной цене и не пожалел. Печем каждый день, иногда по два раза (черный и белый), летом реже. Все устраивает, сигналы громкие, но ночью я их не слышу, т.к. сплю крепко. Инструкция вменяемая, есть некоторые ошибки в пропорциях, но их можно легко вычислить. Пекли хлеб как по рецептам из книги, так и из интернета, Знакомый рецепт ""заряжаю"" на ночь, если незнакомый, то пеку днем под контролем. В данной модели можно испечь ржаной хлеб без проблем, только этого не сделаешь в автоматическом режиме, для начала включается программа ""тесто"", а затем нужно включить программу ""выпечка/кекс"". Для тех, кто еще думает - нужна ли ему хлебопечка и что всегда можно есть магазинный хлеб могу ответить следующее: если вы живете в Москве или в другом городе, где продают хлеб в пакетах, то с печью вы будете в безусловном плюсе, т.к. хлеб всегда будет свежим и вкусным. С хлебом из хлебозавода не расфасофанным в пакет тягаться будет сложнее. По себестоимости батона: хлеб ""красная цена"" однозначно дешевле, но никто не знает из чего он сделан. Всякие там ""восемь злаков"" и т.п. в печке вам выйдут в три раза дешевле. И еще, можно печь хлеб из муки первого сорта, в магазинах такого сейчас уже не найдешь или из любой другой муки, кот. захотите!";2
"это мои 5 ""ушки"", абсолютно все (не смотря на швы!) устраивает.";1
"Ну про камеру ничего сказать не могу. Функции выполняет, но чуть запахнет недостаточным освещением начинает подшумливать. Пользоваться можно и частично недостаток лечится установкой дополнительных программ типа A Better Camera, которая имеет режим многокадрового шумоподавления.
Что в общем по телефону могу сказать: как телефон удовлетворительно (жутко бесит датчик приближения, но связь норм), как навигатор прекрасно и фонарик есть.";1
"Качество видео устраивает с обеих камер. Видео пишется в один файл с обеих камер.
После года эксплуатации емкость встроенного аккумулятора упала почти до нуля, в следствии этого при отрицательных температурах не всегда запускается, пока не прогреется салон авто. Это проблема многих устройств, например навигаторов. Поэтому лучше забирать с собой при длительной стоянке авто.";1
В принципе смарт хороший даже супер. Его единственный недостаток батарея если вы готовы приходить каждый день домой с работы или школы ну у меня часов в 8 вечера заряд 20%  так что я ставою его заряжаться каждый день. А еще минус это тихий динамик. Памяти своей 8гб это плюс!;1
